index,state,Day,Month,Year,order_date,revenue
49,Oklahoma,Friday,January,2014,1/24/2014,617
50,Illinois,Sunday,April,2014,4/27/2014,1260
51,Florida,Monday,April,2014,4/7/2014,816
52,Oregon,Thursday,October,2014,10/9/2014,758
53,Washington,Sunday,March,2014,3/23/2014,899
54,Oregon,Friday,May,2014,5/30/2014,999
55,Texas,Monday,July,2014,7/21/2014,1276
56,Oklahoma,Friday,June,2014,6/27/2014,504
57,Texas,Wednesday,November,2014,11/26/2014,1143
58,California,Tuesday,July,2014,7/29/2014,716
59,Oregon,Monday,January,2014,1/13/2014,753
60,Kansas,Wednesday,December,2014,12/24/2014,1145
61,Montana,Saturday,August,2014,8/23/2014,928
62,Oregon,Saturday,November,2014,11/1/2014,725
63,Georgia,Wednesday,July,2014,7/9/2014,1146
64,Kansas,Wednesday,October,2014,10/29/2014,982
65,Mississippi,Friday,October,2014,10/31/2014,679
66,Mississippi,Thursday,February,2014,2/13/2014,671
67,Louisiana,Thursday,November,2014,11/6/2014,1354
68,Illinois,Monday,April,2014,4/21/2014,1479
69,Indiana,Sunday,April,2014,4/6/2014,699
70,Arkansas,Sunday,November,2014,11/9/2014,1092
71,Florida,Saturday,June,2014,6/28/2014,931
72,Mississippi,Saturday,April,2014,4/5/2014,557
73,Washington,Tuesday,November,2014,11/18/2014,912
74,Montana,Tuesday,December,2014,12/16/2014,782
75,Maine,Monday,January,2014,1/13/2014,426
76,Maine,Friday,May,2014,5/30/2014,347
77,Arkansas,Tuesday,December,2014,12/16/2014,1037
78,Texas,Friday,December,2014,12/19/2014,1142
79,Washington,Friday,October,2014,10/17/2014,932
80,Nebraska,Wednesday,April,2014,4/23/2014,825
81,Oklahoma,Friday,May,2014,5/30/2014,561
82,New Mexico,Saturday,July,2014,7/12/2014,1278
83,Montana,Wednesday,December,2014,12/17/2014,917
84,Maine,Saturday,April,2014,4/12/2014,599
85,Alaska,Friday,February,2014,2/28/2014,622
86,Ohio,Monday,March,2014,3/31/2014,621
87,California,Friday,February,2014,2/21/2014,636
88,Idaho,Friday,May,2014,5/9/2014,1452
89,Indiana,Saturday,January,2014,1/4/2014,602
90,Oklahoma,Friday,April,2014,4/11/2014,641
91,Florida,Sunday,May,2014,5/25/2014,982
92,Oregon,Wednesday,February,2014,2/19/2014,768
93,Iowa,Wednesday,September,2014,9/10/2014,1069
94,Florida,Wednesday,December,2014,12/17/2014,831
95,Texas,Saturday,August,2014,8/30/2014,1272
96,New York,Tuesday,May,2014,5/20/2014,725
97,Missouri,Wednesday,July,2014,7/23/2014,1177
98,California,Wednesday,January,2014,1/22/2014,733
99,Oklahoma,Tuesday,January,2014,1/21/2014,692
100,Iowa,Sunday,February,2014,2/2/2014,1286
101,Indiana,Tuesday,December,2014,12/16/2014,562
102,Iowa,Friday,September,2014,9/19/2014,1089
103,Ohio,Thursday,June,2014,6/19/2014,535
104,Georgia,Saturday,February,2014,2/1/2014,1418
105,Delaware,Saturday,November,2014,11/8/2014,790
106,Alaska,Wednesday,October,2014,10/29/2014,690
107,Indiana,Tuesday,June,2014,6/10/2014,585
108,Ohio,Monday,May,2014,5/26/2014,818
109,New York,Monday,July,2014,7/7/2014,721
110,Mississippi,Monday,April,2014,4/28/2014,526
111,Missouri,Sunday,November,2014,11/9/2014,1171
112,Florida,Monday,June,2014,6/9/2014,978
113,Louisiana,Monday,August,2014,8/4/2014,1444
114,Mississippi,Friday,June,2014,6/20/2014,640
115,Arkansas,Wednesday,July,2014,7/16/2014,1090
116,Illinois,Monday,November,2014,11/24/2014,1316
117,Alaska,Monday,March,2014,3/24/2014,708
118,Oregon,Friday,April,2014,4/11/2014,812
119,Oregon,Friday,January,2014,1/3/2014,847
120,Mississippi,Thursday,July,2014,7/31/2014,837
121,Oklahoma,Saturday,March,2014,3/29/2014,409
122,Delaware,Wednesday,July,2014,7/9/2014,874
123,Texas,Saturday,September,2014,9/13/2014,1147
124,Florida,Sunday,November,2014,11/16/2014,874
125,Louisiana,Sunday,August,2014,8/31/2014,1375
126,Washington,Tuesday,December,2014,12/23/2014,774
127,Indiana,Friday,May,2014,5/9/2014,628
128,California,Sunday,March,2014,3/16/2014,768
129,Maine,Sunday,August,2014,8/3/2014,325
130,Oregon,Monday,March,2014,3/3/2014,871
131,Illinois,Saturday,December,2014,12/6/2014,1287
132,New York,Sunday,September,2014,9/14/2014,742
133,Florida,Saturday,November,2014,11/8/2014,776
134,Montana,Tuesday,December,2014,12/23/2014,966
135,Maine,Tuesday,April,2014,4/8/2014,216
136,Texas,Saturday,December,2014,12/6/2014,1174
137,Nebraska,Wednesday,December,2014,12/24/2014,534
138,Mississippi,Sunday,May,2014,5/18/2014,701
139,Alaska,Saturday,November,2014,11/8/2014,753
140,Oklahoma,Friday,January,2014,1/17/2014,638
141,California,Tuesday,December,2014,12/23/2014,539
142,New York,Monday,January,2014,1/20/2014,877
143,Mississippi,Wednesday,February,2014,2/26/2014,836
144,Nebraska,Sunday,March,2014,3/2/2014,789
145,Idaho,Monday,December,2014,12/15/2014,1312
146,Oklahoma,Sunday,March,2014,3/23/2014,577
147,New Mexico,Sunday,September,2014,9/14/2014,1063
148,Louisiana,Tuesday,December,2014,12/9/2014,1297
149,Louisiana,Saturday,May,2014,5/31/2014,1678
150,Montana,Thursday,August,2014,8/21/2014,817
151,Oklahoma,Monday,May,2014,5/19/2014,485
152,Georgia,Sunday,October,2014,10/19/2014,1234
153,Alaska,Saturday,June,2014,6/14/2014,661
154,Florida,Wednesday,April,2014,4/16/2014,971
155,New Mexico,Tuesday,August,2014,8/19/2014,1342
156,Oregon,Wednesday,November,2014,11/19/2014,789
157,Alaska,Wednesday,January,2014,1/1/2014,678
158,Florida,Sunday,November,2014,11/2/2014,872
159,Mississippi,Sunday,June,2014,6/15/2014,605
160,Arkansas,Monday,September,2014,9/1/2014,1211
161,Mississippi,Monday,May,2014,5/19/2014,461
162,Oregon,Friday,March,2014,3/28/2014,872
163,Montana,Sunday,May,2014,5/11/2014,987
164,Ohio,Wednesday,January,2014,1/22/2014,651
165,Illinois,Wednesday,October,2014,10/29/2014,1195
166,Louisiana,Wednesday,November,2014,11/26/2014,1403
167,Mississippi,Wednesday,January,2014,1/1/2014,721
168,Idaho,Sunday,April,2014,4/20/2014,1418
169,Iowa,Thursday,August,2014,8/14/2014,1182
170,Montana,Thursday,September,2014,9/4/2014,902
171,Oklahoma,Wednesday,August,2014,8/27/2014,569
172,Maine,Wednesday,January,2014,1/8/2014,387
173,Ohio,Thursday,April,2014,4/24/2014,675
174,Alaska,Sunday,September,2014,9/21/2014,725
175,Maine,Wednesday,March,2014,3/26/2014,324
176,Maine,Sunday,June,2014,6/29/2014,369
177,Indiana,Tuesday,May,2014,5/6/2014,575
178,New Mexico,Wednesday,December,2014,12/10/2014,1069
179,Ohio,Tuesday,March,2014,3/4/2014,655
180,Georgia,Wednesday,November,2014,11/5/2014,1307
181,Arkansas,Friday,December,2014,12/5/2014,1159
182,Oklahoma,Sunday,March,2014,3/30/2014,502
183,California,Monday,August,2014,8/4/2014,678
184,Louisiana,Tuesday,February,2014,2/25/2014,1554
185,Delaware,Thursday,May,2014,5/15/2014,996
186,Kansas,Thursday,December,2014,12/25/2014,1060
187,Texas,Wednesday,December,2014,12/3/2014,1109
188,Nebraska,Sunday,March,2014,3/16/2014,671
189,Florida,Wednesday,October,2014,10/1/2014,822
190,Alaska,Friday,January,2014,1/3/2014,727
191,Arkansas,Tuesday,November,2014,11/11/2014,1175
192,Montana,Wednesday,October,2014,10/8/2014,908
193,Mississippi,Tuesday,February,2014,2/4/2014,729
194,Missouri,Tuesday,October,2014,10/21/2014,1072
195,Oklahoma,Thursday,January,2014,1/23/2014,657
196,Alaska,Sunday,May,2014,5/18/2014,580
197,Missouri,Thursday,March,2014,3/6/2014,1324
198,Mississippi,Thursday,April,2014,4/17/2014,701
199,Oregon,Tuesday,March,2014,3/18/2014,971
200,Missouri,Saturday,August,2014,8/30/2014,1310
201,Oklahoma,Friday,April,2014,4/18/2014,488
202,Iowa,Sunday,October,2014,10/5/2014,1094
203,Arkansas,Saturday,December,2014,12/6/2014,1205
204,Mississippi,Friday,June,2014,6/6/2014,516
205,Louisiana,Tuesday,December,2014,12/9/2014,1409
206,Idaho,Monday,April,2014,4/28/2014,1354
207,Idaho,Tuesday,May,2014,5/27/2014,1399
208,Montana,Friday,November,2014,11/21/2014,732
209,Missouri,Monday,November,2014,11/3/2014,1248
210,Mississippi,Friday,June,2014,6/27/2014,740
211,Texas,Monday,December,2014,12/22/2014,1079
212,New Mexico,Wednesday,October,2014,10/22/2014,907
213,Oregon,Saturday,September,2014,9/20/2014,747
214,Nevada,Monday,July,2014,7/7/2014,584
215,Idaho,Thursday,December,2014,12/4/2014,1328
216,Louisiana,Tuesday,August,2014,8/19/2014,1443
217,Montana,Wednesday,October,2014,10/15/2014,859
218,Maine,Wednesday,May,2014,5/28/2014,386
219,Arkansas,Tuesday,July,2014,7/8/2014,1303
220,Washington,Sunday,November,2014,11/2/2014,965
221,Louisiana,Sunday,December,2014,12/7/2014,1265
222,Oregon,Monday,January,2014,1/13/2014,665
223,Arkansas,Friday,October,2014,10/31/2014,1126
224,Washington,Saturday,June,2014,6/28/2014,902
225,Idaho,Friday,July,2014,7/4/2014,1244
226,New York,Friday,May,2014,5/23/2014,709
227,Florida,Friday,February,2014,2/28/2014,899
228,Georgia,Friday,October,2014,10/17/2014,1205
229,Arkansas,Friday,August,2014,8/8/2014,1283
230,Montana,Thursday,October,2014,10/2/2014,762
231,New York,Saturday,March,2014,3/8/2014,713
232,New Mexico,Saturday,September,2014,9/13/2014,1230
233,Alaska,Wednesday,May,2014,5/14/2014,466
234,Georgia,Tuesday,November,2014,11/4/2014,1213
235,Texas,Friday,August,2014,8/29/2014,1157
236,Kansas,Friday,May,2014,5/30/2014,1161
237,Oklahoma,Friday,April,2014,4/25/2014,697
238,Idaho,Monday,July,2014,7/14/2014,1298
239,New York,Sunday,July,2014,7/6/2014,531
240,Indiana,Monday,April,2014,4/28/2014,632
241,Washington,Monday,November,2014,11/17/2014,933
242,Kansas,Thursday,May,2014,5/22/2014,1126
243,Idaho,Wednesday,July,2014,7/2/2014,1299
244,Georgia,Monday,September,2014,9/15/2014,1256
245,Nevada,Monday,July,2014,7/28/2014,369
246,Louisiana,Thursday,November,2014,11/27/2014,1376
247,Delaware,Saturday,November,2014,11/8/2014,636
248,Ohio,Tuesday,April,2014,4/22/2014,780
249,Montana,Tuesday,November,2014,11/25/2014,705
250,Louisiana,Monday,August,2014,8/25/2014,1439
251,Texas,Saturday,March,2014,3/1/2014,1371
252,Florida,Tuesday,July,2014,7/22/2014,859
253,Delaware,Tuesday,November,2014,11/18/2014,861
254,Nebraska,Wednesday,August,2014,8/27/2014,498
255,Ohio,Friday,March,2014,3/7/2014,453
256,New Mexico,Sunday,September,2014,9/21/2014,1117
257,Iowa,Thursday,June,2014,6/5/2014,1354
258,Alaska,Sunday,March,2014,3/30/2014,733
259,Indiana,Thursday,October,2014,10/23/2014,492
260,Maine,Saturday,November,2014,11/8/2014,314
261,Nevada,Monday,March,2014,3/24/2014,606
262,Arkansas,Monday,September,2014,9/1/2014,1214
263,Oregon,Monday,February,2014,2/10/2014,786
264,New York,Thursday,September,2014,9/4/2014,599
265,Florida,Thursday,December,2014,12/18/2014,990
266,Florida,Sunday,September,2014,9/21/2014,900
267,Iowa,Sunday,October,2014,10/12/2014,1109
268,Arkansas,Friday,December,2014,12/26/2014,1235
269,Indiana,Sunday,February,2014,2/9/2014,563
270,Alaska,Sunday,March,2014,3/16/2014,809
271,Texas,Friday,December,2014,12/5/2014,1124
272,Delaware,Friday,November,2014,11/7/2014,784
273,Iowa,Saturday,September,2014,9/27/2014,1334
274,California,Saturday,May,2014,5/31/2014,656
275,California,Sunday,June,2014,6/8/2014,557
276,California,Tuesday,January,2014,1/21/2014,711
277,Oregon,Thursday,February,2014,2/27/2014,846
278,New York,Wednesday,July,2014,7/23/2014,945
279,Texas,Friday,February,2014,2/28/2014,1370
280,New York,Friday,February,2014,2/7/2014,742
281,Mississippi,Monday,April,2014,4/14/2014,618
282,Texas,Monday,August,2014,8/25/2014,1277
283,Kansas,Monday,August,2014,8/25/2014,1029
284,Maine,Monday,February,2014,2/10/2014,391
285,Florida,Thursday,June,2014,6/19/2014,929
286,Oregon,Wednesday,February,2014,2/19/2014,817
287,Missouri,Monday,July,2014,7/7/2014,1077
288,Washington,Wednesday,March,2014,3/12/2014,1025
289,Indiana,Friday,July,2014,7/18/2014,581
290,Arkansas,Thursday,August,2014,8/7/2014,1106
291,Ohio,Thursday,June,2014,6/19/2014,752
292,Oklahoma,Thursday,August,2014,8/7/2014,635
293,California,Wednesday,January,2014,1/1/2014,740
294,Washington,Saturday,April,2014,4/19/2014,1177
295,New York,Monday,March,2014,3/17/2014,846
296,Nebraska,Monday,August,2014,8/25/2014,693
297,Delaware,Monday,September,2014,9/22/2014,950
298,New York,Wednesday,June,2014,6/4/2014,802
299,New Mexico,Friday,August,2014,8/15/2014,1230
300,Maine,Sunday,May,2014,5/11/2014,182
301,Indiana,Saturday,August,2014,8/30/2014,494
302,Idaho,Monday,May,2014,5/26/2014,1514
303,Florida,Sunday,October,2014,10/5/2014,795
304,Ohio,Monday,January,2014,1/20/2014,620
305,Maine,Thursday,January,2014,1/23/2014,290
306,New York,Sunday,July,2014,7/27/2014,746
307,New York,Wednesday,March,2014,3/12/2014,777
308,Oregon,Saturday,May,2014,5/10/2014,619
309,Georgia,Wednesday,September,2014,9/24/2014,1216
310,Arkansas,Tuesday,July,2014,7/8/2014,1159
311,New York,Tuesday,August,2014,8/26/2014,833
312,Idaho,Monday,August,2014,8/11/2014,1188
313,Oklahoma,Sunday,April,2014,4/6/2014,586
314,Louisiana,Wednesday,December,2014,12/10/2014,1314
315,Nevada,Tuesday,March,2014,3/25/2014,495
316,Alaska,Friday,May,2014,5/2/2014,464
317,Mississippi,Tuesday,January,2014,1/21/2014,707
318,Nevada,Sunday,June,2014,6/1/2014,517
319,Mississippi,Saturday,August,2014,8/16/2014,560
320,Kansas,Sunday,September,2014,9/28/2014,1124
321,Maine,Monday,January,2014,1/6/2014,486
322,Florida,Wednesday,July,2014,7/23/2014,920
323,California,Wednesday,December,2014,12/10/2014,564
324,Missouri,Sunday,November,2014,11/2/2014,1093
325,Florida,Wednesday,September,2014,9/3/2014,873
326,California,Friday,August,2014,8/22/2014,643
327,Iowa,Thursday,October,2014,10/9/2014,1112
328,Oklahoma,Wednesday,September,2014,9/3/2014,568
329,Maine,Monday,January,2014,1/27/2014,457
330,Louisiana,Thursday,June,2014,6/26/2014,1548
331,Illinois,Monday,November,2014,11/24/2014,1424
332,Arkansas,Tuesday,August,2014,8/12/2014,1095
333,Maine,Thursday,May,2014,5/8/2014,219
334,Idaho,Wednesday,May,2014,5/21/2014,1531
335,Ohio,Monday,April,2014,4/21/2014,764
336,Ohio,Monday,May,2014,5/12/2014,677
337,Kansas,Friday,August,2014,8/22/2014,1152
338,Alaska,Wednesday,February,2014,2/5/2014,733
339,Maine,Monday,January,2014,1/13/2014,502
340,Missouri,Thursday,July,2014,7/10/2014,1150
341,New Mexico,Wednesday,November,2014,11/12/2014,1190
342,Oklahoma,Saturday,August,2014,8/30/2014,531
343,Kansas,Wednesday,June,2014,6/25/2014,1227
344,Mississippi,Wednesday,March,2014,3/12/2014,607
345,Nebraska,Wednesday,May,2014,5/21/2014,790
346,New Mexico,Friday,November,2014,11/14/2014,1178
347,Oregon,Monday,February,2014,2/10/2014,607
348,Iowa,Thursday,July,2014,7/10/2014,1085
349,New York,Wednesday,January,2014,1/1/2014,848
350,Georgia,Saturday,November,2014,11/8/2014,1108
351,Arkansas,Tuesday,November,2014,11/11/2014,1245
352,Arkansas,Sunday,August,2014,8/24/2014,1236
353,Delaware,Saturday,October,2014,10/11/2014,922
354,Ohio,Wednesday,February,2014,2/19/2014,678
355,Texas,Sunday,November,2014,11/9/2014,1266
356,Arkansas,Sunday,December,2014,12/14/2014,1341
357,Texas,Saturday,November,2014,11/8/2014,1206
358,Kansas,Tuesday,November,2014,11/4/2014,976
359,Missouri,Monday,November,2014,11/10/2014,937
360,Oklahoma,Monday,February,2014,2/3/2014,600
361,Kansas,Monday,September,2014,9/29/2014,1030
362,Florida,Thursday,December,2014,12/18/2014,740
363,Texas,Saturday,September,2014,9/13/2014,1188
364,Nevada,Wednesday,November,2014,11/5/2014,492
365,Oklahoma,Monday,January,2014,1/20/2014,602
366,Florida,Tuesday,November,2014,11/25/2014,988
367,Florida,Sunday,June,2014,6/8/2014,891
368,Alaska,Saturday,October,2014,10/18/2014,680
369,Florida,Monday,November,2014,11/17/2014,821
370,Oklahoma,Sunday,May,2014,5/4/2014,679
371,New Mexico,Saturday,July,2014,7/5/2014,1157
372,Delaware,Saturday,April,2014,4/19/2014,998
373,Oregon,Monday,June,2014,6/9/2014,799
374,Ohio,Friday,March,2014,3/14/2014,710
375,Florida,Saturday,December,2014,12/20/2014,777
376,Mississippi,Friday,February,2014,2/14/2014,589
377,Iowa,Sunday,November,2014,11/23/2014,922
378,Delaware,Saturday,August,2014,8/30/2014,934
379,California,Monday,March,2014,3/24/2014,716
380,Louisiana,Monday,June,2014,6/23/2014,1356
381,Oklahoma,Saturday,July,2014,7/26/2014,474
382,New Mexico,Sunday,October,2014,10/12/2014,1198
383,Nevada,Wednesday,February,2014,2/19/2014,449
384,Indiana,Wednesday,June,2014,6/11/2014,567
385,Washington,Tuesday,April,2014,4/8/2014,1041
386,Texas,Thursday,February,2014,2/27/2014,1553
387,Louisiana,Monday,December,2014,12/22/2014,1339
388,Nevada,Monday,April,2014,4/14/2014,553
389,Nebraska,Wednesday,June,2014,6/11/2014,695
390,Montana,Friday,August,2014,8/22/2014,944
391,Illinois,Wednesday,October,2014,10/1/2014,1451
392,Indiana,Saturday,June,2014,6/21/2014,634
393,Idaho,Sunday,November,2014,11/23/2014,1399
394,Oklahoma,Saturday,March,2014,3/15/2014,603
395,Oregon,Saturday,September,2014,9/27/2014,795
396,Illinois,Friday,March,2014,3/21/2014,1562
397,Maine,Monday,January,2014,1/27/2014,508
398,Indiana,Thursday,October,2014,10/23/2014,658
399,Illinois,Saturday,June,2014,6/21/2014,1667
400,Delaware,Wednesday,August,2014,8/6/2014,692
401,New York,Saturday,January,2014,1/18/2014,853
402,Nevada,Friday,June,2014,6/20/2014,484
403,Montana,Tuesday,June,2014,6/3/2014,1031
404,California,Wednesday,March,2014,3/26/2014,733
405,Indiana,Sunday,June,2014,6/1/2014,506
406,Montana,Monday,March,2014,3/31/2014,992
407,Washington,Monday,September,2014,9/1/2014,971
408,Nevada,Friday,May,2014,5/2/2014,479
409,Montana,Wednesday,October,2014,10/8/2014,840
410,New Mexico,Monday,August,2014,8/18/2014,1076
411,Oregon,Friday,March,2014,3/14/2014,751
412,Mississippi,Sunday,June,2014,6/15/2014,690
413,New York,Friday,January,2014,1/10/2014,667
414,Iowa,Monday,September,2014,9/29/2014,1218
415,Mississippi,Saturday,August,2014,8/30/2014,722
416,Arkansas,Friday,November,2014,11/7/2014,1122
417,Illinois,Saturday,December,2014,12/20/2014,1275
418,Alaska,Tuesday,April,2014,4/8/2014,722
419,California,Sunday,March,2014,3/9/2014,713
420,Ohio,Wednesday,March,2014,3/5/2014,799
421,Montana,Thursday,October,2014,10/23/2014,803
422,Nebraska,Tuesday,March,2014,3/18/2014,766
423,New Mexico,Saturday,November,2014,11/22/2014,1119
424,New York,Monday,September,2014,9/22/2014,702
425,Florida,Thursday,October,2014,10/16/2014,1067
426,Georgia,Thursday,September,2014,9/25/2014,1317
427,Oklahoma,Tuesday,December,2014,12/2/2014,573
428,Iowa,Wednesday,December,2014,12/24/2014,1028
429,Kansas,Friday,November,2014,11/28/2014,1202
430,Alaska,Saturday,September,2014,9/6/2014,678
431,Indiana,Wednesday,June,2014,6/11/2014,648
432,Indiana,Sunday,December,2014,12/21/2014,458
433,Delaware,Tuesday,September,2014,9/23/2014,792
434,Georgia,Saturday,November,2014,11/1/2014,1250
435,Nebraska,Friday,May,2014,5/30/2014,838
436,New York,Wednesday,April,2014,4/9/2014,509
437,New Mexico,Monday,September,2014,9/22/2014,1097
438,New Mexico,Monday,June,2014,6/9/2014,1269
439,Iowa,Saturday,July,2014,7/12/2014,1187
440,Kansas,Monday,May,2014,5/12/2014,1259
441,California,Monday,April,2014,4/7/2014,634
442,Idaho,Tuesday,September,2014,9/30/2014,1261
443,Alaska,Tuesday,September,2014,9/16/2014,513
444,Kansas,Wednesday,July,2014,7/30/2014,1319
445,Delaware,Tuesday,July,2014,7/1/2014,818
446,Nevada,Saturday,April,2014,4/19/2014,536
447,Washington,Thursday,September,2014,9/4/2014,901
448,Idaho,Monday,July,2014,7/21/2014,1412
449,Oklahoma,Friday,January,2014,1/24/2014,655
450,New York,Saturday,March,2014,3/1/2014,715
451,Texas,Saturday,November,2014,11/22/2014,1066
452,California,Friday,January,2014,1/24/2014,832
453,Arkansas,Saturday,October,2014,10/25/2014,1155
454,Alaska,Thursday,October,2014,10/2/2014,569
455,Illinois,Saturday,April,2014,4/19/2014,1581
456,Mississippi,Thursday,August,2014,8/28/2014,510
457,Kansas,Saturday,November,2014,11/1/2014,1166
458,Maine,Monday,April,2014,4/14/2014,226
459,Delaware,Monday,July,2014,7/14/2014,947
460,Indiana,Sunday,January,2014,1/12/2014,739
461,Nevada,Friday,March,2014,3/28/2014,335
462,Arkansas,Wednesday,December,2014,12/24/2014,1296
463,Oregon,Friday,July,2014,7/18/2014,817
464,Washington,Wednesday,August,2014,8/13/2014,985
465,Texas,Sunday,May,2014,5/18/2014,1573
466,Louisiana,Thursday,July,2014,7/17/2014,1637
467,Nevada,Tuesday,February,2014,2/25/2014,440
468,Kansas,Friday,September,2014,9/12/2014,1089
469,Texas,Friday,August,2014,8/29/2014,1113
470,Ohio,Friday,January,2014,1/17/2014,623
471,Missouri,Monday,April,2014,4/28/2014,1306
472,Missouri,Wednesday,July,2014,7/16/2014,1305
473,Indiana,Thursday,January,2014,1/23/2014,641
474,Mississippi,Sunday,February,2014,2/2/2014,736
475,Delaware,Sunday,June,2014,6/8/2014,756
476,Nebraska,Sunday,April,2014,4/20/2014,636
477,New York,Tuesday,January,2014,1/21/2014,893
478,Oregon,Monday,April,2014,4/7/2014,644
479,Oregon,Tuesday,September,2014,9/2/2014,705
480,Oklahoma,Tuesday,October,2014,10/28/2014,539
481,Kansas,Saturday,September,2014,9/20/2014,1271
482,Washington,Sunday,December,2014,12/7/2014,844
483,Ohio,Sunday,January,2014,1/5/2014,737
484,Idaho,Wednesday,May,2014,5/21/2014,1380
485,Florida,Saturday,December,2014,12/6/2014,681
486,Nevada,Sunday,August,2014,8/17/2014,360
487,Ohio,Thursday,May,2014,5/1/2014,701
488,Mississippi,Monday,May,2014,5/26/2014,761
489,Ohio,Thursday,January,2014,1/23/2014,762
490,Nevada,Saturday,March,2014,3/29/2014,500
491,Texas,Wednesday,October,2014,10/1/2014,1257
492,Oregon,Sunday,March,2014,3/9/2014,815
493,Washington,Sunday,November,2014,11/9/2014,999
494,Maine,Tuesday,February,2014,2/18/2014,368
495,Illinois,Wednesday,April,2014,4/2/2014,1363
496,Oklahoma,Sunday,August,2014,8/24/2014,651
497,Maine,Sunday,May,2014,5/11/2014,471
498,Florida,Monday,June,2014,6/16/2014,892
499,Nebraska,Saturday,February,2014,2/22/2014,902
500,Delaware,Saturday,November,2014,11/8/2014,786
501,Ohio,Friday,December,2014,12/5/2014,667
502,New Mexico,Tuesday,October,2014,10/14/2014,1118
503,Alaska,Saturday,June,2014,6/7/2014,633
504,Nevada,Tuesday,January,2014,1/7/2014,342
505,New York,Tuesday,April,2014,4/15/2014,749
506,Montana,Monday,December,2014,12/8/2014,810
507,Georgia,Friday,September,2014,9/12/2014,1282
508,Kansas,Saturday,September,2014,9/13/2014,1187
509,Montana,Saturday,July,2014,7/5/2014,989
510,Louisiana,Tuesday,May,2014,5/20/2014,1352
511,Nebraska,Tuesday,September,2014,9/30/2014,788
512,Nevada,Monday,January,2014,1/6/2014,675
513,California,Tuesday,May,2014,5/13/2014,711
514,Nebraska,Monday,April,2014,4/21/2014,635
515,Kansas,Thursday,July,2014,7/24/2014,1295
516,Texas,Friday,October,2014,10/10/2014,1169
517,Florida,Sunday,July,2014,7/27/2014,997
518,New Mexico,Monday,April,2014,4/28/2014,1067
519,Oregon,Wednesday,May,2014,5/14/2014,812
520,California,Wednesday,February,2014,2/19/2014,807
521,Iowa,Friday,August,2014,8/29/2014,1173
522,Missouri,Monday,October,2014,10/27/2014,1151
523,Texas,Thursday,September,2014,9/11/2014,1309
524,Indiana,Tuesday,June,2014,6/17/2014,579
525,Missouri,Sunday,August,2014,8/31/2014,992
526,Missouri,Monday,June,2014,6/2/2014,1192
527,Idaho,Tuesday,December,2014,12/2/2014,1248
528,Indiana,Tuesday,March,2014,3/18/2014,480
529,Illinois,Thursday,November,2014,11/6/2014,1318
530,Kansas,Tuesday,April,2014,4/22/2014,1190
531,Washington,Saturday,June,2014,6/28/2014,893
532,Alaska,Friday,February,2014,2/7/2014,623
